Year,Satellite Type,Budget (in Billion $),Success Rate (%),Environmental Impact,Duration (in Days),Num_Collaborators,Tech_Maturity,Budget_Per_Day,Money_Efficiency,Mission Type_Unmanned,Technology Used_Nuclear Propulsion,Technology Used_Reusable Rocket,Technology Used_Solar Propulsion,Technology Used_Traditional Rocket,Country_France,Country_Germany,Country_India,Country_Israel,Country_Japan,Country_Russia,Country_UAE,Country_UK,Country_USA,Tech_Budget_Power
2009,Research,32.14,77.0,Low,275,1,2.0,0.11644927536231885,661.2321095208463,True,False,False,True,False,False,False,False,True,False,False,False,False,False,64.28
2002,Communication,44.75,80.0,Medium,110,3,1.0,0.40315315315315314,198.43575418994413,False,False,False,False,True,False,False,True,False,False,False,False,False,False,44.75
2021,Weather,8.57,50.0,Medium,357,2,3.0,0.02393854748603352,2088.681446907818,True,True,False,False,False,False,False,False,False,False,False,False,False,True,25.71
2013,Weather,22.28,64.0,Low,275,3,3.0,0.08072463768115942,792.818671454219,True,True,False,False,False,False,False,False,False,True,False,False,False,False,66.84
2002,Navigation,19.77,69.0,High,346,1,1.0,0.05697406340057637,1211.0773899848255,True,False,False,False,False,True,False,False,False,False,False,False,False,False,19.77
2009,Communication,17.53,94.0,High,122,2,1.0,0.14252032520325203,659.5550484883058,True,False,False,False,True,True,False,False,False,False,False,False,False,False,17.53
2022,Research,19.81,81.0,Medium,253,3,1.0,0.07799212598425197,1038.5663806158507,True,False,False,False,False,False,False,False,True,False,False,False,False,False,19.81
2006,Weather,36.35,61.0,High,53,3,1.0,0.6731481481481482,90.61898211829435,False,False,False,False,True,False,False,False,False,True,False,False,False,False,36.35
2009,Navigation,26.68,53.0,Medium,23,1,1.0,1.1116666666666666,47.67616191904048,False,False,False,False,False,False,False,False,False,True,False,False,False,False,26.68
2022,Research,40.65,68.0,Medium,51,3,4.0,0.7817307692307692,86.98646986469865,True,False,True,False,False,False,False,True,False,False,False,False,False,False,162.6
2018,Navigation,24.57,95.0,Low,56,2,2.0,0.43105263157894735,220.3907203907204,True,False,False,True,False,False,False,False,False,False,False,True,False,False,49.14
2019,Communication,46.17,51.0,Medium,22,2,1.0,2.007391304347826,25.406107862248213,True,False,False,False,False,False,False,True,False,False,False,False,False,False,46.17
2025,Research,16.5,79.0,High,304,2,4.0,0.054098360655737705,1460.3030303030303,False,False,True,False,False,False,False,False,False,True,False,False,False,False,66.0
2011,Navigation,15.7,68.0,High,143,1,3.0,0.10902777777777778,623.6942675159236,True,True,False,False,False,False,False,False,True,False,False,False,False,False,47.099999999999994
2016,Weather,44.95,70.0,Low,330,1,3.0,0.13580060422960727,515.4616240266963,False,True,False,False,False,False,False,False,False,False,False,True,False,False,134.85000000000002
2020,Research,11.6,70.0,High,126,2,4.0,0.09133858267716535,766.3793103448276,True,False,True,False,False,False,False,False,False,False,False,False,True,False,46.4
2009,Research,2.48,67.0,Low,106,3,4.0,0.023177570093457944,2890.7258064516127,True,False,True,False,False,False,False,False,True,False,False,False,False,False,9.92
2002,Research,22.0,91.0,Medium,85,3,3.0,0.2558139534883721,355.7272727272727,False,True,False,False,False,False,False,False,False,False,True,False,False,False,66.0
2001,Research,22.1,73.0,Low,74,1,3.0,0.2946666666666667,247.73755656108597,False,True,False,False,False,True,False,False,False,False,False,False,False,False,66.30000000000001
2023,Research,47.66,92.0,High,345,1,4.0,0.1377456647398844,667.8976080570709,True,False,True,False,False,False,False,False,False,False,False,False,True,False,190.64
2013,Research,39.74,58.0,Low,237,2,3.0,0.1669747899159664,347.3578258681429,True,True,False,False,False,False,False,False,False,False,False,False,False,True,119.22
2009,Communication,1.54,56.0,High,262,2,1.0,0.005855513307984791,9563.636363636364,True,False,False,False,False,False,False,False,False,False,False,False,False,False,1.54
2000,Communication,27.0,52.0,Low,224,2,4.0,0.12,433.33333333333337,True,False,True,False,False,False,False,False,False,False,False,False,True,False,108.0
2020,Communication,3.55,88.0,Low,242,2,4.0,0.014609053497942386,6023.661971830987,False,False,True,False,False,False,False,False,True,False,False,False,False,False,14.2
2012,Weather,0.96,91.0,Medium,166,1,4.0,0.005748502994011976,15830.208333333334,True,False,True,False,False,False,False,False,False,False,False,False,False,True,3.84
2012,Communication,27.05,81.0,Medium,247,3,1.0,0.10907258064516129,742.6247689463955,False,False,False,False,True,False,False,False,True,False,False,False,False,False,27.05
2003,Weather,30.29,52.0,Low,177,3,4.0,0.1701685393258427,305.5793991416309,True,False,True,False,False,False,False,False,False,True,False,False,False,False,121.16
2023,Weather,39.46,50.0,Low,155,1,3.0,0.2529487179487179,197.66852508869744,True,True,False,False,False,False,False,False,False,False,False,False,False,True,118.38
2025,Navigation,46.27,90.0,Low,293,1,3.0,0.1573809523809524,571.8608169440241,True,True,False,False,False,False,False,False,False,False,True,False,False,False,138.81
2007,Communication,16.85,57.0,Low,39,1,3.0,0.42125,135.31157270029672,False,True,False,False,False,False,False,False,False,False,False,False,False,False,50.550000000000004
2020,Research,41.01,71.0,Medium,181,2,2.0,0.22532967032967033,315.09387954157523,False,False,False,True,False,False,False,True,False,False,False,False,False,False,82.02
2009,Navigation,35.75,74.0,High,125,3,1.0,0.2837301587301587,260.8111888111888,True,False,False,False,True,False,True,False,False,False,False,False,False,False,35.75
2001,Research,30.77,100.0,Low,346,3,2.0,0.08867435158501441,1127.7218069548262,False,False,False,True,False,False,False,False,False,True,False,False,False,False,61.54
2003,Navigation,34.41,59.0,High,42,3,2.0,0.8002325581395348,73.72856727695438,True,False,False,True,False,False,False,False,True,False,False,False,False,False,68.82
2013,Weather,15.35,50.0,Medium,101,1,3.0,0.15049019607843137,332.2475570032573,True,True,False,False,False,False,False,False,False,False,False,False,False,True,46.05
2011,Weather,35.37,94.0,Low,330,1,4.0,0.10685800604229606,879.6720384506644,True,False,True,False,False,False,False,False,False,False,False,True,False,False,141.48
2017,Navigation,24.99,58.0,High,58,2,4.0,0.4235593220338983,136.93477390956383,True,False,True,False,False,True,False,False,False,False,False,False,False,False,99.96
2014,Spy,3.07,74.0,Low,331,1,3.0,0.009246987951807228,8002.605863192183,True,True,False,False,False,False,False,False,False,True,False,False,False,False,9.209999999999999
2001,Research,21.98,53.0,Low,206,1,4.0,0.10618357487922706,499.13557779799817,False,False,True,False,False,False,False,False,False,False,True,False,False,False,87.92
2024,Research,31.48,60.0,Medium,141,2,1.0,0.22169014084507044,270.6480304955527,False,False,False,False,True,False,False,False,False,False,False,False,False,True,31.48
2005,Communication,22.82,81.0,High,304,2,1.0,0.07481967213114754,1082.6029798422437,True,False,False,False,False,False,False,False,False,False,True,False,False,False,22.82
2005,Weather,8.33,54.0,Medium,41,3,4.0,0.19833333333333333,272.2689075630252,False,False,True,False,False,False,False,True,False,False,False,False,False,False,33.32
2005,Weather,43.36,73.0,Medium,25,2,2.0,1.6676923076923076,43.77306273062731,True,False,False,True,False,False,False,False,False,False,False,False,False,False,86.72
2000,Weather,1.45,68.0,Medium,189,3,1.0,0.007631578947368421,8910.344827586207,True,False,False,False,False,True,False,False,False,False,False,False,False,False,1.45
2020,Research,10.92,82.0,Low,183,1,1.0,0.059347826086956525,1381.6849816849817,True,False,False,False,False,False,False,False,False,False,False,False,False,True,10.92
2000,Communication,30.28,96.0,High,130,1,2.0,0.23114503816793894,415.3236459709379,True,False,False,True,False,False,False,False,False,False,False,False,False,False,60.56
2019,Weather,4.36,77.0,High,268,3,3.0,0.01620817843866171,4750.688073394495,False,True,False,False,False,False,False,False,True,False,False,False,False,False,13.080000000000002
2006,Spy,46.54,58.0,Medium,316,1,4.0,0.14681388012618296,395.05801461108723,False,False,True,False,False,True,False,False,False,False,False,False,False,False,186.16
2003,Weather,46.74,98.0,High,206,2,1.0,0.22579710144927537,434.01797175866494,False,False,False,False,True,False,False,True,False,False,False,False,False,False,46.74
2017,Navigation,45.69,63.0,High,52,2,3.0,0.8620754716981132,73.07944845699278,True,True,False,False,False,False,False,False,False,False,False,True,False,False,137.07
2012,Spy,39.13,93.0,High,114,3,2.0,0.3402608695652174,273.31970355226167,False,False,False,True,False,False,False,True,False,False,False,False,False,False,78.26
2000,Research,34.03,61.0,High,225,3,1.0,0.15057522123893805,405.1131354687041,False,False,False,False,False,False,False,False,True,False,False,False,False,False,34.03
2018,Navigation,46.25,82.0,High,125,2,2.0,0.36706349206349204,223.39459459459462,False,False,False,True,False,False,False,False,False,False,False,False,False,False,92.5
2019,Communication,48.18,86.0,High,217,1,4.0,0.2210091743119266,389.1241178912412,True,False,True,False,False,False,False,False,False,False,False,False,False,False,192.72
2025,Communication,12.09,57.0,Low,117,3,4.0,0.10245762711864406,556.3275434243177,True,False,True,False,False,False,False,False,True,False,False,False,False,False,48.36
2004,Communication,9.67,56.0,High,335,1,1.0,0.028779761904761905,1945.8117890382625,False,False,False,False,True,True,False,False,False,False,False,False,False,False,9.67
2013,Spy,46.73,74.0,High,349,3,1.0,0.1335142857142857,554.247806548256,False,False,False,False,False,True,False,False,False,False,False,False,False,False,46.73
2021,Communication,3.62,62.0,High,133,2,3.0,0.027014925373134328,2295.027624309392,True,True,False,False,False,False,True,False,False,False,False,False,False,False,10.86
2009,Navigation,3.15,74.0,Medium,207,1,1.0,0.01514423076923077,4886.349206349207,True,False,False,False,True,False,False,False,False,False,False,True,False,False,3.15
2004,Communication,31.94,75.0,High,143,2,1.0,0.22180555555555556,338.1340012523481,False,False,False,False,False,False,False,False,False,False,False,False,False,False,31.94
2025,Communication,34.71,59.0,Low,33,1,4.0,1.0208823529411766,57.79314318640161,True,False,True,False,False,False,False,False,False,False,True,False,False,False,138.84
2014,Communication,25.49,64.0,High,90,3,3.0,0.28010989010989007,228.4817575519812,False,True,False,False,False,False,False,False,True,False,False,False,False,False,76.47
2015,Communication,30.87,78.0,Low,314,2,2.0,0.098,795.9183673469388,True,False,False,True,False,False,False,False,False,False,True,False,False,False,61.74
2003,Research,34.81,69.0,Low,74,3,3.0,0.46413333333333334,148.6641769606435,True,True,False,False,False,False,True,False,False,False,False,False,False,False,104.43
2018,Communication,45.44,76.0,Low,346,1,1.0,0.13095100864553313,580.3697183098592,False,False,False,False,True,True,False,False,False,False,False,False,False,False,45.44
2023,Communication,6.35,94.0,High,66,1,3.0,0.09477611940298507,991.8110236220473,True,True,False,False,False,False,False,False,False,False,False,False,False,True,19.049999999999997
2006,Communication,14.38,95.0,High,102,1,1.0,0.1396116504854369,680.4589707927678,True,False,False,False,False,False,True,False,False,False,False,False,False,False,14.38
2004,Navigation,27.27,73.0,High,233,1,2.0,0.11653846153846154,626.4026402640264,False,False,False,True,False,False,False,False,False,False,False,False,False,True,54.54
2013,Communication,49.47,85.0,Low,56,3,3.0,0.8678947368421053,97.9381443298969,False,True,False,False,False,False,False,False,False,True,False,False,False,False,148.41
2012,Communication,2.57,76.0,Medium,126,1,4.0,0.020236220472440943,3755.6420233463036,True,False,True,False,False,False,False,False,False,False,False,False,False,False,10.28
2005,Spy,29.23,76.0,Medium,116,1,4.0,0.24982905982905984,304.2080054738282,False,False,True,False,False,False,False,False,False,False,True,False,False,False,116.92
2010,Spy,0.53,55.0,Medium,161,2,3.0,0.003271604938271605,16811.32075471698,True,True,False,False,False,False,False,False,False,False,False,True,False,False,1.59
2004,Navigation,16.17,60.0,Medium,205,3,4.0,0.07849514563106796,764.3784786641929,True,False,True,False,False,False,False,False,False,False,False,True,False,False,64.68
2012,Navigation,47.02,69.0,Medium,17,2,4.0,2.6122222222222224,26.414291790727347,True,False,True,False,False,True,False,False,False,False,False,False,False,False,188.08
2025,Communication,45.2,53.0,Medium,16,2,1.0,2.658823529411765,19.93362831858407,False,False,False,False,True,False,False,True,False,False,False,False,False,False,45.2
2013,Weather,27.93,97.0,Medium,196,2,4.0,0.1417766497461929,684.1747225205872,True,False,True,False,False,False,False,True,False,False,False,False,False,False,111.72
2019,Research,10.56,60.0,Medium,68,1,3.0,0.15304347826086956,392.04545454545456,True,True,False,False,False,False,False,False,False,False,True,False,False,False,31.68
2018,Navigation,16.51,63.0,Medium,350,3,2.0,0.047037037037037044,1339.3700787401574,False,False,False,True,False,False,False,True,False,False,False,False,False,False,33.02
2002,Weather,35.19,77.0,High,173,3,4.0,0.2022413793103448,380.73316283034956,False,False,True,False,False,False,True,False,False,False,False,False,False,False,140.76
2013,Research,28.48,73.0,Low,318,1,2.0,0.08927899686520377,817.6615168539325,False,False,False,True,False,False,False,False,False,False,False,False,False,False,56.96
2002,Research,14.66,84.0,Medium,159,1,1.0,0.091625,916.7803547066849,False,False,False,False,True,False,False,False,False,False,False,True,False,False,14.66
2009,Research,41.66,76.0,Low,178,3,2.0,0.23273743016759774,326.5482477196352,False,False,False,True,False,False,False,False,False,False,False,True,False,False,83.32
2024,Navigation,23.86,80.0,Medium,293,2,2.0,0.081156462585034,985.7502095557419,True,False,False,True,False,False,False,False,False,False,False,True,False,False,47.72
2013,Communication,40.11,67.0,High,22,3,1.0,1.7439130434782608,38.41934679631015,False,False,False,False,False,False,True,False,False,False,False,False,False,False,40.11
2023,Research,31.56,53.0,Medium,293,3,1.0,0.1073469387755102,493.7262357414449,False,False,False,False,True,False,False,False,False,False,False,False,True,False,31.56
2023,Navigation,6.74,53.0,Low,272,1,2.0,0.02468864468864469,2146.73590504451,False,False,False,True,False,False,False,True,False,False,False,False,False,False,13.48
2022,Spy,45.01,81.0,Medium,73,3,2.0,0.6082432432432432,133.1704065763164,False,False,False,True,False,False,False,True,False,False,False,False,False,False,90.02
2014,Spy,11.75,86.0,Medium,150,2,4.0,0.07781456953642384,1105.1914893617022,True,False,True,False,False,False,False,True,False,False,False,False,False,False,47.0
2018,Weather,47.3,70.0,Low,204,3,1.0,0.23073170731707315,303.3826638477801,True,False,False,False,True,True,False,False,False,False,False,False,False,False,47.3
2010,Communication,43.07,86.0,High,261,3,4.0,0.16438931297709924,523.1483631297887,True,False,True,False,False,False,False,False,False,False,False,False,False,False,172.28
2007,Research,25.67,71.0,Low,265,3,3.0,0.09650375939849624,735.7226334242306,False,True,False,False,False,False,False,False,False,False,True,False,False,False,77.01
2019,Research,43.69,85.0,High,83,2,2.0,0.5201190476190476,163.4241245136187,False,False,False,True,False,False,False,False,False,False,False,True,False,False,87.38
2015,Spy,22.23,74.0,Medium,90,1,4.0,0.2442857142857143,302.9239766081871,False,False,True,False,False,False,False,False,False,False,True,False,False,False,88.92
2022,Communication,44.57,67.0,High,228,2,3.0,0.1946288209606987,344.2450078528158,True,True,False,False,False,False,False,False,False,True,False,False,False,False,133.71
2012,Communication,18.61,68.0,Medium,176,2,4.0,0.10514124293785311,646.749059645352,False,False,True,False,False,False,False,False,False,True,False,False,False,False,74.44
2024,Weather,7.93,81.0,Medium,58,1,1.0,0.13440677966101694,602.6481715006306,True,False,False,False,True,False,False,False,False,True,False,False,False,False,7.93
2020,Spy,2.96,52.0,Low,31,1,1.0,0.0925,562.1621621621622,False,False,False,False,False,False,False,False,False,True,False,False,False,False,2.96
2007,Navigation,34.99,100.0,Low,128,1,4.0,0.2712403100775194,368.6767647899399,False,False,True,False,False,False,False,False,True,False,False,False,False,False,139.96
2023,Weather,13.19,68.0,Low,261,1,1.0,0.05034351145038168,1350.7202426080364,False,False,False,False,False,False,False,False,False,False,False,True,False,False,13.19
2011,Spy,17.64,51.0,Low,7,2,2.0,2.205,23.12925170068027,False,False,False,True,False,False,False,False,False,False,True,False,False,False,35.28
2016,Spy,35.98,56.0,Low,259,1,4.0,0.13838461538461538,404.6692607003891,True,False,True,False,False,False,False,False,False,False,False,True,False,False,143.92
2015,Research,22.42,87.0,High,22,3,4.0,0.9747826086956523,89.25066904549509,True,False,True,False,False,False,False,False,False,True,False,False,False,False,89.68
2002,Research,8.6,74.0,High,284,2,3.0,0.030175438596491227,2452.3255813953488,False,True,False,False,False,False,False,False,False,False,True,False,False,False,25.799999999999997
2015,Research,47.21,55.0,High,312,1,1.0,0.15083067092651758,364.6473204829485,False,False,False,False,False,False,True,False,False,False,False,False,False,False,47.21
2001,Navigation,35.24,73.0,Low,315,2,2.0,0.11151898734177215,654.5970488081725,False,False,False,True,False,False,False,False,True,False,False,False,False,False,70.48
2003,Navigation,3.66,97.0,Low,79,3,2.0,0.04575,2120.218579234973,False,False,False,True,False,False,False,False,False,False,False,True,False,False,7.32
2016,Communication,10.46,72.0,Low,133,3,2.0,0.07805970149253733,922.3709369024855,True,False,False,True,False,False,False,False,False,False,False,False,False,False,20.92
2018,Spy,27.47,70.0,High,199,2,1.0,0.13735,509.6468875136513,False,False,False,False,True,True,False,False,False,False,False,False,False,False,27.47
2002,Navigation,8.21,93.0,Medium,105,3,4.0,0.07745283018867925,1200.7308160779537,False,False,True,False,False,False,False,False,False,False,True,False,False,False,32.84
2023,Navigation,31.42,84.0,Low,300,1,3.0,0.10438538205980066,804.7103755569701,False,True,False,False,False,False,False,False,True,False,False,False,False,False,94.26
2000,Spy,5.88,99.0,Medium,133,3,3.0,0.043880597014925374,2256.122448979592,False,True,False,False,False,False,False,False,False,False,False,False,True,False,17.64
2007,Navigation,39.95,90.0,High,22,3,1.0,1.7369565217391305,51.81476846057572,False,False,False,False,True,False,False,False,False,False,False,False,False,True,39.95
2020,Navigation,48.01,68.0,High,19,3,2.0,2.4005,28.32743178504478,True,False,False,True,False,False,False,False,False,True,False,False,False,False,96.02
2018,Spy,5.74,65.0,Low,279,1,1.0,0.0205,3170.731707317073,False,False,False,False,True,False,False,False,False,False,False,True,False,False,5.74
2019,Research,43.18,92.0,Medium,183,3,3.0,0.23467391304347826,392.03334877257987,False,True,False,False,False,False,False,True,False,False,False,False,False,False,129.54
2002,Weather,11.88,87.0,Low,329,2,4.0,0.036000000000000004,2416.6666666666665,True,False,True,False,False,False,False,False,False,True,False,False,False,False,47.52
2022,Spy,2.44,90.0,High,129,3,4.0,0.018769230769230767,4795.081967213116,True,False,True,False,False,False,False,False,False,False,False,False,False,False,9.76
2024,Spy,44.93,63.0,Low,352,3,3.0,0.12728045325779036,494.9699532606277,False,True,False,False,False,False,False,False,False,False,True,False,False,False,134.79
2024,Weather,27.61,70.0,Medium,117,1,1.0,0.23398305084745763,299.16696848967763,False,False,False,False,False,False,False,False,False,False,False,False,True,False,27.61
2021,Navigation,16.74,94.0,High,329,2,4.0,0.050727272727272725,1853.046594982079,False,False,True,False,False,False,True,False,False,False,False,False,False,False,66.96
2007,Communication,9.54,69.0,High,116,2,1.0,0.08153846153846153,846.2264150943397,False,False,False,False,False,False,False,False,False,False,False,False,True,False,9.54
2006,Navigation,36.1,96.0,Low,19,3,4.0,1.8050000000000002,53.18559556786703,True,False,True,False,False,False,False,False,False,False,False,False,False,True,144.4
2002,Research,32.95,82.0,High,281,2,4.0,0.11684397163120569,701.7905918057662,False,False,True,False,False,False,True,False,False,False,False,False,False,False,131.8
2018,Weather,12.48,100.0,High,352,3,1.0,0.035354107648725215,2828.5256410256407,True,False,False,False,False,False,False,False,False,False,False,True,False,False,12.48
2018,Research,36.26,69.0,Medium,186,2,1.0,0.193903743315508,355.84666298952015,False,False,False,False,True,False,False,False,False,False,False,False,False,True,36.26
2001,Spy,21.54,60.0,High,316,3,1.0,0.06794952681388013,883.008356545961,True,False,False,False,False,False,False,False,True,False,False,False,False,False,21.54
2005,Communication,44.12,78.0,Medium,343,3,1.0,0.12825581395348837,608.1595648232094,False,False,False,False,True,False,True,False,False,False,False,False,False,False,44.12
2003,Spy,30.83,80.0,Medium,11,3,1.0,2.5691666666666664,31.13850145961726,False,False,False,False,True,True,False,False,False,False,False,False,False,False,30.83
2018,Weather,8.13,53.0,Medium,285,3,3.0,0.02842657342657343,1864.452644526445,False,True,False,False,False,False,True,False,False,False,False,False,False,False,24.39
2013,Navigation,9.35,81.0,Low,207,1,4.0,0.04495192307692308,1801.9251336898396,False,False,True,False,False,False,False,False,False,False,False,False,False,False,37.4
2024,Communication,25.13,50.0,Low,162,2,1.0,0.15417177914110428,324.3135694389177,False,False,False,False,False,True,False,False,False,False,False,False,False,False,25.13
2018,Spy,49.54,66.0,Low,144,1,4.0,0.3416551724137931,193.17723052079128,True,False,True,False,False,False,False,False,False,False,True,False,False,False,198.16
2020,Spy,44.58,61.0,Low,76,3,1.0,0.5789610389610389,105.3611484970839,True,False,False,False,True,False,False,True,False,False,False,False,False,False,44.58
2001,Weather,23.22,85.0,High,5,3,2.0,3.8699999999999997,21.963824289405686,True,False,False,True,False,False,False,False,False,False,True,False,False,False,46.44
2010,Weather,13.48,94.0,Medium,77,1,4.0,0.17282051282051283,543.9169139465874,True,False,True,False,False,True,False,False,False,False,False,False,False,False,53.92
2015,Spy,48.58,78.0,High,255,2,2.0,0.189765625,411.03334705640185,True,False,False,True,False,False,True,False,False,False,False,False,False,False,97.16
2013,Research,22.28,65.0,Medium,75,2,1.0,0.2931578947368421,221.72351885098743,False,False,False,False,True,False,False,False,False,False,False,False,False,True,22.28
2010,Research,47.53,94.0,High,168,3,3.0,0.28124260355029584,334.23101199242586,True,True,False,False,False,False,False,False,False,False,False,False,True,False,142.59
2010,Communication,1.16,93.0,Medium,138,3,3.0,0.008345323741007193,11143.96551724138,False,True,False,False,False,False,False,False,False,False,False,True,False,False,3.4799999999999995
2005,Weather,25.38,87.0,Medium,356,3,2.0,0.07109243697478991,1223.758865248227,True,False,False,True,False,False,True,False,False,False,False,False,False,False,50.76
2022,Weather,23.88,80.0,Medium,115,1,1.0,0.20586206896551723,388.60971524288107,True,False,False,False,False,False,False,False,False,False,False,False,False,False,23.88
2000,Research,8.99,57.0,Medium,297,2,3.0,0.030167785234899328,1889.432703003337,False,True,False,False,False,False,False,False,False,True,False,False,False,False,26.97
2019,Weather,1.69,93.0,Medium,189,1,4.0,0.008894736842105263,10455.621301775149,False,False,True,False,False,True,False,False,False,False,False,False,False,False,6.76
2018,Navigation,43.74,93.0,Low,76,1,2.0,0.568051948051948,163.71742112482855,False,False,False,True,False,False,True,False,False,False,False,False,False,False,87.48
2012,Weather,20.08,97.0,Medium,153,1,3.0,0.1303896103896104,743.9243027888447,True,True,False,False,False,False,False,False,False,True,False,False,False,False,60.239999999999995
2011,Research,37.13,99.0,Low,93,1,1.0,0.395,250.63291139240505,False,False,False,False,True,False,True,False,False,False,False,False,False,False,37.13
2020,Spy,39.8,71.0,Medium,278,1,3.0,0.14265232974910394,497.713567839196,True,True,False,False,False,False,False,False,False,False,True,False,False,False,119.39999999999999
2025,Research,2.65,54.0,Low,12,3,1.0,0.20384615384615384,264.9056603773585,False,False,False,False,False,False,True,False,False,False,False,False,False,False,2.65
2011,Weather,48.05,76.0,High,292,3,3.0,0.16399317406143343,463.43392299687827,True,True,False,False,False,False,False,True,False,False,False,False,False,False,144.14999999999998
2005,Navigation,39.5,50.0,High,141,3,1.0,0.27816901408450706,179.74683544303795,True,False,False,False,False,False,False,False,False,False,False,False,False,False,39.5
2003,Research,24.15,98.0,High,117,2,3.0,0.20466101694915254,478.84057971014494,True,True,False,False,False,False,False,False,False,False,False,False,True,False,72.44999999999999
2018,Spy,22.24,84.0,High,67,2,3.0,0.32705882352941174,256.8345323741007,True,True,False,False,False,False,False,False,False,False,False,True,False,False,66.72
2006,Research,46.98,51.0,Low,119,1,3.0,0.39149999999999996,130.2681992337165,True,True,False,False,False,False,False,False,False,False,False,False,False,False,140.94
2024,Spy,9.91,97.0,High,32,2,3.0,0.3003030303030303,323.0070635721494,False,True,False,False,False,False,False,False,False,False,False,False,True,False,29.73
2017,Weather,30.65,95.0,High,40,2,2.0,0.7475609756097561,127.07993474714519,True,False,False,True,False,False,False,False,True,False,False,False,False,False,61.3
2005,Research,19.01,99.0,Medium,125,2,1.0,0.15087301587301588,656.1809573908469,True,False,False,False,True,False,False,False,False,False,False,False,False,False,19.01
2023,Navigation,24.23,50.0,Low,262,3,1.0,0.09212927756653992,542.7156417664053,True,False,False,False,False,False,False,True,False,False,False,False,False,False,24.23
2009,Research,38.05,97.0,Medium,185,2,1.0,0.20456989247311827,474.16557161629436,True,False,False,False,False,False,False,False,False,False,True,False,False,False,38.05
2016,Weather,23.52,53.0,Low,135,2,1.0,0.17294117647058824,306.4625850340136,False,False,False,False,False,False,False,False,False,False,False,False,True,False,23.52
2010,Spy,31.35,69.0,High,103,1,1.0,0.30144230769230773,228.89952153110045,False,False,False,False,True,False,True,False,False,False,False,False,False,False,31.35
2024,Research,29.38,82.0,Medium,183,1,2.0,0.15967391304347825,513.5466303607897,True,False,False,True,False,False,False,False,False,False,False,False,True,False,58.76
2010,Research,6.51,61.0,Medium,25,2,4.0,0.25038461538461537,243.6251920122888,False,False,True,False,False,False,False,False,False,False,False,False,False,False,26.04
2003,Weather,44.02,70.0,High,288,1,1.0,0.15231833910034603,459.56383462062695,False,False,False,False,False,False,False,False,True,False,False,False,False,False,44.02
2010,Weather,39.58,94.0,Medium,213,3,1.0,0.18495327102803738,508.23648307225875,True,False,False,False,False,False,False,False,False,False,False,False,True,False,39.58
2020,Navigation,42.08,81.0,High,154,1,1.0,0.2714838709677419,298.36026615969587,True,False,False,False,False,False,False,False,False,False,False,False,False,False,42.08
2025,Weather,22.92,93.0,High,129,1,2.0,0.17630769230769233,527.4869109947643,True,False,False,True,False,True,False,False,False,False,False,False,False,False,45.84
2014,Research,26.7,53.0,High,269,3,3.0,0.09888888888888889,535.9550561797753,False,True,False,False,False,False,False,False,False,False,False,False,False,True,80.1
2012,Communication,13.88,74.0,Medium,9,2,1.0,1.3880000000000001,53.31412103746397,True,False,False,False,True,False,False,False,True,False,False,False,False,False,13.88
2001,Research,38.16,77.0,Medium,244,3,1.0,0.1557551020408163,494.36582809224325,True,False,False,False,False,False,False,False,False,False,False,False,True,False,38.16
2003,Spy,6.06,76.0,Medium,81,3,3.0,0.07390243902439024,1028.3828382838285,True,True,False,False,False,False,False,False,False,False,True,False,False,False,18.18
2024,Research,42.33,56.0,Medium,338,3,4.0,0.12486725663716813,448.47625797306875,True,False,True,False,False,False,False,False,False,False,False,False,False,True,169.32
2008,Research,14.31,84.0,High,250,3,4.0,0.05701195219123506,1473.3752620545074,False,False,True,False,False,False,False,False,False,False,False,False,False,False,57.24
2020,Research,39.28,96.0,Low,358,2,2.0,0.1094150417827298,877.3930753564155,False,False,False,True,False,False,False,False,False,False,True,False,False,False,78.56
2013,Research,41.69,54.0,Low,38,3,4.0,1.068974358974359,50.51571120172703,True,False,True,False,False,False,False,False,False,False,False,False,True,False,166.76
2005,Navigation,28.66,96.0,Medium,123,2,4.0,0.23112903225806453,415.3524075366364,True,False,True,False,False,False,True,False,False,False,False,False,False,False,114.64
2005,Communication,22.97,97.0,High,269,3,4.0,0.08507407407407407,1140.1828471919896,False,False,True,False,False,False,False,False,False,True,False,False,False,False,91.88
2014,Communication,3.22,98.0,Low,81,1,1.0,0.03926829268292683,2495.6521739130435,False,False,False,False,True,False,False,False,False,False,False,True,False,False,3.22
2019,Research,26.7,95.0,Low,47,3,1.0,0.55625,170.78651685393257,True,False,False,False,True,False,False,False,False,False,False,False,False,True,26.7
2025,Weather,44.61,92.0,Medium,221,2,4.0,0.20094594594594595,457.8345662407532,False,False,True,False,False,False,True,False,False,False,False,False,False,False,178.44
2008,Navigation,5.8,52.0,Medium,336,2,1.0,0.017210682492581602,3021.3793103448274,False,False,False,False,False,False,False,False,True,False,False,False,False,False,5.8
2016,Research,43.31,91.0,Medium,180,1,1.0,0.2392817679558011,380.30477949665203,True,False,False,False,False,False,False,False,True,False,False,False,False,False,43.31
2016,Research,41.74,89.0,Low,225,2,4.0,0.18469026548672568,481.8878773358888,True,False,True,False,False,False,False,False,False,False,False,False,False,True,166.96
2011,Research,9.26,87.0,Low,267,3,4.0,0.03455223880597015,2517.92656587473,False,False,True,False,False,False,False,False,False,False,False,True,False,False,37.04
